[Atlas_info]
/atlas/atlas1.png
2560 1664
64 64
30 30
[ID_matrix]
0 c 1 c 1 c 1 c 1 c 1 c 1 c 1 c 1 c 1 c 1 c 1 c 1 c 1 c 1 c 4 c 4 c 4 c 4 c 4 c 4 c 4 c 4 c 4 c 4 c 4 c 4 c 4 c 4 c 5 c
40 c 10 n 13 n 14 n 13 n 14 n 13 n 14 n 13 n 14 n 13 n 14 n 13 n 14 n 13 n 13 n 14 n 13 n 14 n 13 n 14 n 13 n 14 n 14 n 13 n 14 n 13 n 14 n 15 n 45 c
40 c 50 n 290 n 290 n 290 n 290 n 290 n 290 n 290 n 290 n 290 n 290 n 290 n 290 n 290 n 290 n 290 n 290 n 290 n 290 n 290 n 290 n 290 n 290 n 290 n 290 n 290 n 290 n 135 n 45 c
40 c 90 n 290 n 290 n 17 n 17 n 17 n 17 n 17 n 137 n 269 n 269 n 17 n 17 n 17 n 17 n 17 n 17 n 269 n 269 n 17 n 17 n 137 n 137 n 137 n 137 n 290 n 290 n 95 n 45 c
40 c 50 n 290 n 17 n 17 n 17 n 17 n 17 n 137 n 137 n 269 n 269 n 17 n 17 n 17 n 17 n 17 n 17 n 269 n 269 n 17 n 17 n 137 n 137 n 137 n 137 n 137 n 290 n 135 n 45 c
40 c 90 n 290 n 17 n 132 n 132 n 17 n 17 n 17 n 137 n 269 n 269 n 17 n 17 n 17 n 17 n 17 n 17 n 269 n 269 n 17 n 17 n 137 n 137 n 132 n 132 n 137 n 290 n 95 n 45 c
40 c 50 n 290 n 17 n 132 n 132 n 17 n 17 n 17 n 137 n 269 n 269 n 17 n 17 n 17 n 17 n 17 n 17 n 269 n 269 n 17 n 17 n 137 n 137 n 132 n 132 n 137 n 290 n 135 n 45 c
40 c 90 n 290 n 17 n 17 n 132 n 17 n 17 n 17 n 137 n 269 n 269 n 17 n 17 n 17 n 17 n 17 n 17 n 269 n 269 n 17 n 137 n 137 n 137 n 137 n 137 n 137 n 290 n 95 n 45 c
40 c 50 n 290 n 17 n 17 n 132 n 17 n 17 n 17 n 137 n 269 n 269 n 17 n 17 n 17 n 17 n 17 n 17 n 269 n 269 n 17 n 137 n 137 n 137 n 17 n 17 n 17 n 290 n 55 n 45 c
40 c 90 n 290 n 17 n 17 n 132 n 132 n 132 n 132 n 137 n 269 n 269 n 17 n 17 n 132 n 132 n 17 n 17 n 269 n 269 n 17 n 17 n 17 n 132 n 132 n 17 n 17 n 290 n 175 n 45 c
40 c 50 n 290 n 269 n 269 n 269 n 269 n 269 n 269 n 269 n 269 n 269 n 269 n 269 n 269 n 269 n 269 n 269 n 269 n 269 n 269 n 269 n 269 n 269 n 269 n 269 n 269 n 290 n 55 n 45 c
40 c 90 n 290 n 269 n 269 n 269 n 269 n 269 n 269 n 269 n 269 n 269 n 269 n 269 n 269 n 269 n 269 n 269 n 269 n 269 n 269 n 269 n 269 n 269 n 269 n 269 n 269 n 290 n 175 n 45 c
40 c 50 n 290 n 17 n 17 n 17 n 17 n 17 n 17 n 137 n 269 n 269 n 0 n 1 n 2 n 3 n 4 n 5 n 269 n 269 n 17 n 17 n 17 n 17 n 17 n 17 n 17 n 290 n 55 n 45 c
40 c 90 n 290 n 17 n 17 n 17 n 17 n 17 n 17 n 137 n 269 n 269 n 40 n 41 n 42 n 43 n 44 n 45 n 269 n 269 n 17 n 17 n 17 n 17 n 17 n 17 n 17 n 290 n 175 n 45 c
40 c 50 n 290 n 17 n 17 n 17 n 17 n 17 n 17 n 137 n 269 n 269 n 80 n 81 n 82 n 83 n 84 n 85 n 269 n 269 n 17 n 17 n 17 n 17 n 17 n 17 n 17 n 290 n 55 n 45 c
120 c 90 n 290 n 17 n 17 n 17 n 17 n 17 n 17 n 137 n 269 n 269 n 120 n 121 n 122 n 123 n 124 n 125 n 269 n 269 n 17 n 17 n 17 n 17 n 17 n 17 n 17 n 290 n 175 n 165 c
120 c 50 n 290 n 17 n 17 n 17 n 17 n 17 n 17 n 137 n 269 n 269 n 160 n 161 n 162 n 163 n 164 n 165 n 269 n 269 n 17 n 17 n 17 n 17 n 17 n 17 n 17 n 290 n 55 n 165 c
120 c 90 n 290 n 17 n 17 n 17 n 17 n 17 n 17 n 137 n 269 n 269 n 200 n 201 n 202 n 203 n 204 n 205 n 269 n 269 n 17 n 17 n 17 n 17 n 132 n 132 n 17 n 290 n 175 n 165 c
120 c 50 n 290 n 269 n 269 n 269 n 269 n 269 n 269 n 269 n 269 n 269 n 269 n 269 n 269 n 269 n 269 n 269 n 269 n 269 n 269 n 269 n 269 n 269 n 269 n 269 n 269 n 290 n 55 n 165 c
120 c 90 n 290 n 269 n 269 n 269 n 269 n 269 n 269 n 269 n 269 n 269 n 269 n 269 n 269 n 269 n 269 n 269 n 269 n 269 n 269 n 269 n 269 n 269 n 269 n 269 n 269 n 290 n 175 n 165 c
120 c 50 n 290 n 17 n 17 n 17 n 17 n 17 n 17 n 137 n 269 n 269 n 17 n 17 n 17 n 17 n 17 n 17 n 269 n 269 n 17 n 17 n 17 n 17 n 17 n 17 n 17 n 290 n 55 n 165 c
120 c 90 n 290 n 17 n 17 n 17 n 17 n 17 n 17 n 137 n 269 n 269 n 17 n 17 n 17 n 17 n 17 n 17 n 269 n 269 n 17 n 17 n 17 n 17 n 17 n 17 n 17 n 290 n 175 n 165 c
120 c 50 n 290 n 17 n 17 n 17 n 17 n 17 n 17 n 137 n 269 n 269 n 17 n 17 n 17 n 17 n 17 n 17 n 269 n 269 n 17 n 17 n 17 n 17 n 17 n 17 n 17 n 290 n 55 n 165 c
120 c 90 n 290 n 17 n 17 n 132 n 132 n 17 n 17 n 137 n 269 n 269 n 17 n 17 n 17 n 17 n 17 n 17 n 269 n 269 n 17 n 17 n 17 n 132 n 132 n 17 n 17 n 290 n 175 n 165 c
160 c 50 n 290 n 17 n 17 n 132 n 132 n 17 n 17 n 137 n 269 n 269 n 17 n 17 n 132 n 132 n 17 n 17 n 269 n 269 n 17 n 17 n 17 n 132 n 132 n 17 n 17 n 290 n 55 n 165 c
160 c 90 n 290 n 17 n 17 n 17 n 17 n 17 n 17 n 137 n 269 n 269 n 17 n 17 n 17 n 17 n 17 n 17 n 269 n 269 n 17 n 17 n 17 n 17 n 17 n 17 n 17 n 290 n 175 n 165 c
160 c 50 n 290 n 290 n 17 n 17 n 17 n 17 n 17 n 137 n 269 n 269 n 17 n 17 n 17 n 17 n 17 n 17 n 269 n 269 n 17 n 17 n 17 n 17 n 17 n 17 n 290 n 290 n 55 n 165 c
160 c 90 n 290 n 290 n 290 n 290 n 290 n 290 n 290 n 290 n 290 n 290 n 290 n 290 n 290 n 290 n 290 n 290 n 290 n 290 n 290 n 290 n 290 n 290 n 290 n 290 n 290 n 290 n 175 n 165 c
160 c 210 n 211 n 213 n 214 n 213 n 214 n 213 n 214 n 213 n 214 n 213 n 214 n 57 n 58 n 57 n 58 n 214 n 213 n 214 n 213 n 214 n 213 n 214 n 213 n 214 n 213 n 214 n 215 n 165 c
200 c 201 c 201 c 201 c 201 c 201 c 201 c 201 c 201 c 201 c 201 c 201 c 201 c 97 n 98 n 97 n 98 n 204 c 204 c 204 c 204 c 204 c 204 c 204 c 204 c 204 c 204 c 204 c 204 c 205 c
